Abkhazian	Abkhazian	abkhaze	abk	ab
Achinese	Achinese	aceh	ace	 
Acoli	Acoli	acoli	ach	 
Adangme	Adangme	adangme	ada	 
Adygei	Adyghe; Adygei	adyghé	ady	 
Adyghe	Adyghe; Adygei	adyghé	ady	 
Afar	Afar	afar	aar	aa
Afrihili	Afrihili	afrihili	afh	 
Afrikaans	Afrikaans	afrikaans	afr	af
Afro-Asiatic languages	Afro-Asiatic languages	afro-asiatiques, langues	afa	 
Ainu	Ainu	aïnou	ain	 
Akan	Akan	akan	aka	ak
Akkadian	Akkadian	akkadien	akk	 
Albanian	Albanian	albanais	alb/sqi	sq
Alemannic	Swiss German; Alemannic; Alsatian	suisse alémanique; alémanique; alsacien	gsw	 
Aleut	Aleut	aléoute	ale	 
Algonquian languages	Algonquian languages	algonquines, langues	alg	 
Alsatian	Swiss German; Alemannic; Alsatian	suisse alémanique; alémanique; alsacien	gsw	 
Altaic languages	Altaic languages	altaïques, langues	tut	 
Amharic	Amharic	amharique	amh	am
Angika	Angika	angika	anp	 
Apache languages	Apache languages	apaches, langues	apa	 
Arabic	Arabic	arabe	ara	ar
Aragonese	Aragonese	aragonais	arg	an
Arapaho	Arapaho	arapaho	arp	 
Arawak	Arawak	arawak	arw	 
Armenian	Armenian	arménien	arm/hye	hy
Aromanian	Aromanian; Arumanian; Macedo-Romanian	aroumain; macédo-roumain	rup	 
Artificial languages	Artificial languages	artificielles, langues	art	 
Arumanian	Aromanian; Arumanian; Macedo-Romanian	aroumain; macédo-roumain	rup	 
Assamese	Assamese	assamais	asm	as
Asturian	Asturian; Bable; Leonese; Asturleonese	asturien; bable; léonais; asturoléonais	ast	 
Asturleonese	Asturian; Bable; Leonese; Asturleonese	asturien; bable; léonais; asturoléonais	ast	 
Athapascan languages	Athapascan languages	athapascanes, langues	ath	 
Australian languages	Australian languages	australiennes, langues	aus	 
Austronesian languages	Austronesian languages	austronésiennes, langues	map	 
Avaric	Avaric	avar	ava	av
Avestan	Avestan	avestique	ave	ae
Awadhi	Awadhi	awadhi	awa	 
Aymara	Aymara	aymara	aym	ay
Azerbaijani	Azerbaijani	azéri	aze	az
Bable	Asturian; Bable; Leonese; Asturleonese	asturien; bable; léonais; asturoléonais	ast	 
Balinese	Balinese	balinais	ban	 
Baltic languages	Baltic languages	baltes, langues	bat	 
Baluchi	Baluchi	baloutchi	bal	 
Bambara	Bambara	bambara	bam	bm
Bamileke languages	Bamileke languages	bamiléké, langues	bai	 
Banda languages	Banda languages	banda, langues	bad	 
Bantu languages	Bantu languages	bantou, langues	bnt	 
Basa	Basa	basa	bas	 
Bashkir	Bashkir	bachkir	bak	ba
Basque	Basque	basque	baq/eus	eu
Batak languages	Batak languages	batak, langues	btk	 
Bedawiyet	Beja; Bedawiyet	bedja	bej	 
Beja	Beja; Bedawiyet	bedja	bej	 
Belarusian	Belarusian	biélorusse	bel	be
Bemba	Bemba	bemba	bem	 
Bengali	Bengali	bengali	ben	bn
Berber languages	Berber languages	berbères, langues	ber	 
Bhojpuri	Bhojpuri	bhojpuri	bho	 
Bihari languages	Bihari languages	langues biharis	bih	bh
Bikol	Bikol	bikol	bik	 
Bilin	Blin; Bilin	blin; bilen	byn	 
Bini	Bini; Edo	bini; edo	bin	 
Bislama	Bislama	bichlamar	bis	bi
Blin	Blin; Bilin	blin; bilen	byn	 
